,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:12b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,gemma3:27b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:14b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b,qwen3:30b
Infrastructure,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100,4xA100,4xA100,2xA100,2xA100,H100,H100
Problem,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply,Addition,Matrix multiply
GWP,0.0003830120355098,0.0003810982661734,0.0002521094179114,0.0003073380183653,0.00031333734494,0.0002213427139479,0.0011686106182664,0.0009669049834789,0.0023447750487843,0.0017753565537283,0.0010403024910115,0.0007763262685247,0.0171328388940941,0.017320901340781,0.0072885568069398,0.0078261899913896,0.0120034567563547,0.0189301815344341,0.0181855693654966,0.0301753353056807,0.0144940526576936,0.0150327999844014,0.0184377227914861,0.0235980611387902,0.0008241128082876,0.0024365282435817,0.0008567716442108,0.0011067133847753,0.0006978803911672,0.0007152286040738,0.002005011909962,0.0070601150348136,0.006014234508733,0.0061515917030768,0.0030740350471762,0.0050033056825525,0.013973213045123,0.0260669155704858,0.02401946573836,0.0311635527888419,0.0130068756695583,0.0267732656403987,0.0288345468386893,0.0494964293089799,0.0574067892480618,0.0591769950533444,0.0194109345013442,0.0512619164947694,0.0020565588128128,0.0018165514363505,0.0015117776213245,0.0007932296913212,0.0007446175963663,0.0006886217743248,0.0037405936627,0.01370956068756,0.0084729911895212,0.0043670951609683,0.0046289480942745,0.0026864112761672,0.0232198161730664,0.0363911581612845,0.0379060128603182,0.0313744907213611,0.0272696371028466,0.0301233539993394,0.0318934750809527,0.0644171492034242,0.0655621346819163,0.0650436114035172,0.0446798521477048,0.0861991248212077,0.0013090986999306,0.0052102113963433,0.0007673315781717,0.0012121989275699,0.0005984225164441,0.0010187449104573,0.0133138589190596,0.0171025860410704,0.0068930088943491,0.0207170836190961,0.0042195265646591,0.0202685177654116,0.0224786707080375,0.0418615935565006,0.0291271004671379,0.0504866596129315,0.0242867428633251,0.0427089006202112,0.0342683060693308,0.0621579925766848,0.0522320828621657,0.0826459126977135,0.0483530446994897,0.0849177304488463
ADP,6.9494086749158094e-09,6.945926461165581e-09,3.99285656674572e-09,4.8647200939666895e-09,2.885010955657713e-09,2.1015148767854007e-09,1.70382995245339e-08,1.3450737194509529e-08,1.8879928159422752e-08,1.591930833097207e-08,9.066150827456262e-09,6.827899791882121e-09,2.3217029236467002e-07,2.105182457141679e-07,5.7465940653942166e-08,6.852742642848088e-08,1.0104997764441785e-07,1.5606627923168206e-07,2.5221569051097056e-07,3.45770232947248e-07,1.1906211693382297e-07,1.2053577984516694e-07,1.5158490265049645e-07,1.9035297226013418e-07,1.4120164055964305e-08,3.8846685832483415e-08,1.1329834916007692e-08,1.5370897803843144e-08,6.14969202800848e-09,6.338808323957208e-09,2.6386913370618137e-08,9.167719125102476e-08,4.983098489009015e-08,5.164215579792609e-08,2.4098722414052797e-08,4.0929095821985934e-08,1.7137732849859584e-07,3.2340876909414484e-07,1.8645339495472737e-07,2.450089180355157e-07,1.0231206529345732e-07,2.101577384527093e-07,3.25055847178206e-07,6.142202198589728e-07,4.571303514274549e-07,4.656761528825637e-07,1.5514995964828513e-07,4.0735403622385925e-07,3.236310783515984e-08,2.9163788870670865e-08,1.8583043665533783e-08,1.017427264108879e-08,6.575831798659904e-09,6.124622273709508e-09,4.4777808465739085e-08,1.8454704626638546e-07,7.964168129752899e-08,3.500777780796882e-08,3.818794318700656e-08,2.2167067811238623e-08,2.787111635808191e-07,4.4081635474925523e-07,3.082982960505315e-07,2.551901673219842e-07,2.12922555764525e-07,2.4330526563525534e-07,3.914413537324516e-07,7.589690167375687e-07,5.007942670559365e-07,5.365376631511632e-07,3.4249917843534845e-07,6.868818009039296e-07,2.3026160257632663e-08,8.988196817936592e-08,1.2135104691824504e-08,1.9110953516649056e-08,6.066667788859148e-09,1.016310506997002e-08,2.0959313956935185e-07,2.525013387269054e-07,7.777628220545243e-08,2.4724053507666084e-07,4.1230359476478656e-08,1.9805709644914882e-07,3.009986874354612e-07,5.450119724638419e-07,2.791210455688877e-07,4.5820726678350326e-07,2.1971185660662455e-07,3.915469791152103e-07,4.849966188671817e-07,8.70441310012375e-07,4.909275195745367e-07,7.336070293309841e-07,4.37499867696077e-07,7.672444103971526e-07
WU,0.00010749459403,0.0001071654389107,6.688568504723417e-05,8.151918948066552e-05,8.717753351962714e-05,6.242688886764319e-05,0.0003002529559141,0.0002441237011785,0.000500558380503,0.0003898118713544,0.0002826272878796,0.0002117384627808,0.0042846421763791,0.0041705849983041,0.0015478212830838,0.0017074085836944,0.0032137736106195,0.0050245167768824,0.0045863845304959,0.0071260620848427,0.0031098552002788,0.0032058001684293,0.0048882062680396,0.0062077071964674,0.0002257498695902,0.0006481348981325,0.0002123978394901,0.0002792578342438,0.0001904987639039,0.0001957159562447,0.0004962061390823,0.0017390217474481,0.001293259492715,0.0013272762434828,0.0007993809935112,0.001323746467089,0.0033748140491955,0.0063203552347053,0.0050813752492604,0.0066133512137129,0.0033869361378009,0.0069657893086698,0.0067738115660718,0.0120020579660145,0.0122211229376621,0.0125610302283564,0.0050872673330453,0.0134032486756676,0.0005442275191065,0.0004845588353807,0.0003654014176479,0.0001945467701142,0.0002034464699007,0.0001887225706741,0.0008961106508447,0.0034203239641584,0.0018848010696493,0.0009312432626038,0.0012289704138392,0.000713295570888,0.0055676315438515,0.0087525222103887,0.0081126249733751,0.0067148468131087,0.0070798965199924,0.0079284538677564,0.007704766268109,0.0153511103409357,0.0138156556697821,0.0139706760884432,0.0115154683891437,0.0225633709861476,0.000362572029816,0.0014313068627216,0.0002034582426474,0.0003210183460706,0.0001738942144511,0.0002938459513625,0.0035237756409506,0.004415137052912,0.001619774461614,0.0049580098579361,0.0012055932090622,0.0057911642849791,0.005597491041244,0.0103207115398689,0.006514824652287,0.0111218914481813,0.0067052230973029,0.0118601294365626,0.0087071995617124,0.0157319183521293,0.0116187514865566,0.018096730467224,0.0133505210701845,0.0234316786662835
