nb_users,latency
1,59.68886160850525
1,29.47135019302368
1,36.8380024433136
1,75.63934850692749
1,78.29939675331116
1,37.872705936431885
1,62.87833833694458
1,40.41406846046448
1,48.968268394470215
1,40.61723041534424
10,156.28612422943115
10,59.71826100349426
10,115.79067039489746
10,180.41894793510437
10,185.12877464294434
10,183.05770349502563
10,76.86502528190613
10,144.9672954082489
10,158.6482594013214
10,169.79650807380676
10,135.71594095230103
10,131.22138261795044
10,170.05667185783386
10,127.80574917793274
10,50.984090089797974
10,91.97154569625854
10,147.67245960235596
10,143.34645318984985
10,143.74335980415344
10,142.6790747642517
10,164.0141031742096
10,148.76439213752747
10,121.6172285079956
10,105.60742139816284
10,164.34130001068115
10,148.08259081840515
10,112.79222893714905
10,168.1017289161682
10,137.4047372341156
10,94.93202829360962
10,75.81384134292603
10,155.28622341156006
10,118.64596557617188
10,118.46220469474792
10,89.32461309432983
10,124.00220990180969
10,124.55003929138184
10,148.37186813354492
10,111.12831926345825
10,94.61121129989624
10,68.65747046470642
10,202.9954116344452
10,145.56837463378906
10,127.67001485824585
10,203.68473887443542
10,222.24937844276428
10,120.11114716529846
10,57.06366443634033
10,155.21448612213135
10,107.16761231422424
10,165.32238030433655
10,129.7330732345581
10,69.84379267692566
10,177.32547736167908
10,151.51408696174622
10,150.2889575958252
10,169.74639320373535
10,178.53754472732544
10,165.79189682006836
10,132.9869921207428
10,89.15454506874084
10,164.6484398841858
10,84.25975799560547
10,96.11016750335693
10,177.1885540485382
10,171.95903754234314
10,153.60185146331787
10,143.07322072982788
10,190.70113968849182
10,172.05379271507263
10,92.36654138565063
10,148.10753846168518
10,110.7798900604248
10,101.73161602020264
10,155.5773949623108
10,179.52547359466553
10,120.02752184867859
10,127.05480885505676
10,116.76476168632507
10,146.0645034313202
10,146.62304663658142
10,108.5608057975769
10,178.2888102531433
10,191.04785251617432
10,155.6401722431183
10,74.79581189155579
10,144.53928661346436
10,131.74598598480225
10,151.5716679096222
10,123.04923939704895
10,92.35746049880981
10,170.16877365112305
10,171.31258416175842
10,178.50122141838074
10,225.8274154663086
10,131.01004648208618
10,169.01602840423584
10,157.03109765052795
10,107.08680248260498
10,132.88560461997986
25,577.9126250743866
25,584.1527211666107
25,567.4606790542603
25,530.5222165584564
25,591.6010224819183
25,514.7124285697937
25,547.1579256057739
25,557.149899482727
25,498.0041518211365
25,238.84359765052795
25,487.79414987564087
25,554.6370162963867
25,412.8090913295746
25,151.0566565990448
25,311.8473906517029
25,356.14486598968506
25,589.5087881088257
25,407.5199463367462
25,674.6752479076385
25,439.7320866584778
25,540.2438867092133
25,554.7626881599426
25,474.18516182899475
25,560.0320398807526
25,443.9911026954651
25,448.63283681869507
25,432.8898117542267
25,367.3132333755493
25,227.66020250320435
25,369.61867809295654
25,390.6320071220398
25,460.1667172908783
25,396.33173155784607
25,305.1796681880951
25,176.03718900680542
25,361.34796595573425
25,320.26701378822327
25,400.19528794288635
25,381.36508655548096
25,279.282728433609
25,381.8582441806793
25,324.85996651649475
25,418.6455309391022
25,421.11335849761963
25,354.170209646225
25,180.1860318183899
25,442.2260901927948
25,425.0563168525696
25,470.0435564517975
25,421.25328373908997
25,391.801589012146
25,149.27285647392273
25,426.4128141403198
25,406.1711699962616
25,525.3766028881073
25,350.4624729156494
25,427.2872281074524
25,306.9506559371948
25,453.31712794303894
25,353.7536337375641
25,502.25869822502136
25,374.4993939399719
25,433.8163983821869
25,434.7102472782135
25,483.21134901046753
25,454.8211941719055
25,560.7917478084564
25,545.8255867958069
25,426.93195152282715
25,457.4499559402466
25,422.6957004070282
25,523.3123807907104
25,476.41294527053833
25,345.5443136692047
25,532.1849410533905
25,564.6590595245361
25,430.6180953979492
25,417.4395294189453
25,564.2972960472107
25,325.66654682159424
25,395.5142066478729
25,420.76031017303467
25,523.158732175827
25,532.5136830806732
25,430.7721571922302
25,377.8340275287628
25,423.1282503604889
25,419.47218132019043
25,379.8827655315399
25,347.608603477478
25,420.3528814315796
25,424.6717948913574
25,511.7708888053894
25,568.4142119884491
25,316.62997221946716
25,550.3405475616455
25,406.1240658760071
25,464.9625389575958
25,514.6874053478241
25,188.43908262252808
25,360.2278542518616
25,704.8145184516907
25,444.95489740371704
25,649.9097263813019
25,558.3959770202637
25,566.8574421405792
25,657.8863656520844
25,523.6094002723694
25,311.44778180122375
25,640.6899170875549
25,763.5153856277466
25,501.51806473731995
25,618.2724475860596
25,481.1538636684418
25,592.3504285812378
25,423.3763077259064
25,565.8294882774353
25,349.69896388053894
25,254.14826679229736
25,585.1001877784729
25,411.6595039367676
25,402.74895310401917
25,570.365841627121
25,747.564995765686
25,515.3318059444427
25,334.3110382556915
25,290.0847330093384
25,372.56747674942017
25,454.64339900016785
25,341.0632483959198
25,119.16170382499695
25,364.92015171051025
25,388.47308444976807
25,287.79645800590515
25,159.2927451133728
25,343.736426115036
25,331.7713541984558
25,461.9733409881592
25,405.4295198917389
25,432.80248618125916
25,393.854131937027
25,419.69441390037537
25,436.847998380661
25,443.9840760231018
25,346.12980914115906
25,436.39926195144653
25,403.7778744697571
25,395.50014781951904
25,381.2822484970093
25,329.85019040107727
25,291.76380133628845
25,363.96185302734375
25,339.8734381198883
25,289.52907705307007
25,226.05206632614136
25,340.38257575035095
25,104.32914733886719
25,339.46056294441223
25,271.5969409942627
25,308.5611035823822
25,423.85207176208496
25,371.8474714756012
25,369.03618931770325
25,309.7804124355316
25,328.3761010169983
25,321.21849632263184
25,371.5728545188904
25,434.5779278278351
25,181.83705186843872
25,322.9748659133911
25,138.49874114990234
25,384.63800287246704
25,433.28053402900696
25,153.14807224273682
25,277.569664478302
25,313.0919065475464
