nb_users,avg_latency,efficiency_M,avg_req_user
25,406.28808798980714,0.12306538507536649,10.0
50,692.6513507561683,0.14437277844160684,10.0
75,929.9478512264888,0.16129936727330263,10.0
100,1162.3083386688234,0.1720713801546476,10.0
