model,nb_users,agent_id,run_id,percent
gemma3:12b,50,36,7,0
qwen3:14b,50,19,1,0
qwen3:14b,100,5,2,0
qwen3:14b,100,54,2,0
ministral-3:14b,75,46,4,100
gemma3:12b,50,15,2,0
qwen3:14b,75,24,4,100
gemma3:12b,50,15,5,0
ministral-3:14b,100,92,2,0
ministral-3:14b,50,26,8,0
qwen3:14b,75,32,1,0
gemma3:12b,75,58,9,0
qwen3:14b,50,23,3,100
ministral-3:14b,100,43,9,0
qwen3:14b,100,3,8,100
ministral-3:14b,100,62,7,0
ministral-3:14b,75,22,4,0
qwen3:14b,75,64,7,100
ministral-3:14b,75,66,7,0
gemma3:12b,100,89,1,0
gemma3:12b,100,28,1,100
ministral-3:14b,75,63,8,100
gemma3:12b,75,0,8,0
qwen3:14b,75,32,6,0
qwen3:14b,50,14,1,0
qwen3:14b,100,75,1,0
ministral-3:14b,100,15,5,0
ministral-3:14b,75,6,5,100
qwen3:14b,100,43,6,100
qwen3:14b,25,17,8,0
ministral-3:14b,100,99,2,0
gemma3:12b,50,42,9,100
ministral-3:14b,100,5,3,0
qwen3:14b,25,13,8,0
gemma3:12b,100,25,9,0
gemma3:12b,75,23,4,100
ministral-3:14b,100,0,9,0
gemma3:12b,100,65,8,0
ministral-3:14b,50,36,5,0
qwen3:14b,75,37,2,0
qwen3:14b,50,39,7,100
qwen3:14b,100,97,2,100
qwen3:14b,25,0,1,100
ministral-3:14b,50,18,1,0
qwen3:14b,25,14,2,100
qwen3:14b,100,84,6,100
ministral-3:14b,75,19,4,0
qwen3:14b,100,43,4,0
ministral-3:14b,75,11,0,100
qwen3:14b,100,84,2,100
ministral-3:14b,100,95,0,0
ministral-3:14b,75,51,0,0
ministral-3:14b,50,47,9,0
qwen3:14b,75,55,8,100
qwen3:14b,50,44,2,0
qwen3:14b,25,22,6,100
gemma3:12b,50,10,9,100
gemma3:12b,50,15,6,0
qwen3:14b,100,54,5,0
ministral-3:14b,100,10,5,0
qwen3:14b,25,3,0,100
ministral-3:14b,100,78,9,0
qwen3:14b,100,80,3,0
qwen3:14b,100,22,9,0
qwen3:14b,25,23,7,0
ministral-3:14b,75,13,5,0
ministral-3:14b,100,60,2,0
qwen3:14b,75,8,2,0
gemma3:12b,100,39,5,100
ministral-3:14b,25,7,7,0
gemma3:12b,100,14,6,0
qwen3:14b,25,11,7,0
qwen3:14b,100,43,5,0
qwen3:14b,100,27,9,0
gemma3:12b,50,36,0,100
qwen3:14b,25,11,0,100
gemma3:12b,75,37,6,0
ministral-3:14b,75,45,5,0
ministral-3:14b,75,74,9,0
ministral-3:14b,50,5,8,0
qwen3:14b,50,30,3,100
gemma3:12b,75,42,9,0
ministral-3:14b,75,42,8,100
qwen3:14b,50,0,7,100
gemma3:12b,75,21,0,0
qwen3:14b,25,7,5,100
ministral-3:14b,50,34,2,100
gemma3:12b,75,37,4,0
qwen3:14b,100,21,9,100
qwen3:14b,50,3,0,100
ministral-3:14b,100,61,8,0
gemma3:12b,10,2,0,0
gemma3:12b,50,31,3,0
ministral-3:14b,50,1,6,0
ministral-3:14b,50,21,5,0
ministral-3:14b,50,7,1,0
qwen3:14b,100,77,8,0
ministral-3:14b,50,44,2,0
ministral-3:14b,100,50,1,0
ministral-3:14b,50,18,6,0
qwen3:14b,100,8,5,0
gemma3:12b,75,58,7,0
ministral-3:14b,75,50,3,100
gemma3:12b,100,11,8,0
qwen3:14b,75,32,7,0
gemma3:12b,50,27,6,0
qwen3:14b,50,6,7,100
gemma3:12b,100,64,0,100
ministral-3:14b,100,88,0,0
qwen3:14b,100,99,4,100
ministral-3:14b,50,45,8,0
ministral-3:14b,50,32,8,0
gemma3:12b,100,15,6,0
ministral-3:14b,50,29,1,100
ministral-3:14b,75,0,4,0
gemma3:12b,75,34,4,100
ministral-3:14b,75,9,7,0
qwen3:14b,100,67,8,100
ministral-3:14b,100,95,2,0
gemma3:12b,100,95,3,0
gemma3:12b,100,34,2,0
ministral-3:14b,100,6,5,0
ministral-3:14b,100,62,1,0
qwen3:14b,25,5,2,100
ministral-3:14b,75,41,3,0
qwen3:14b,25,7,1,100
gemma3:12b,75,37,5,100
qwen3:14b,100,18,4,0
ministral-3:14b,100,34,5,0
gemma3:12b,50,26,3,100
ministral-3:14b,100,19,7,0
ministral-3:14b,75,49,2,0
gemma3:12b,75,23,2,0
ministral-3:14b,25,19,4,0
qwen3:14b,75,29,9,100
gemma3:12b,100,26,2,0
qwen3:14b,50,38,1,100
qwen3:14b,75,61,8,100
qwen3:14b,50,23,9,0
ministral-3:14b,25,9,3,0
ministral-3:14b,100,99,4,0
ministral-3:14b,100,63,6,0
qwen3:14b,100,45,7,0
qwen3:14b,75,23,2,100
gemma3:12b,50,38,5,0
qwen3:14b,25,11,6,100
qwen3:14b,25,14,0,100
qwen3:14b,75,70,6,0
qwen3:14b,75,23,9,0
ministral-3:14b,75,5,8,0
ministral-3:14b,75,31,8,0
qwen3:14b,50,49,2,100
qwen3:14b,50,9,8,0
ministral-3:14b,100,77,7,0
gemma3:12b,75,15,6,0
qwen3:14b,75,27,8,100
gemma3:12b,100,87,4,0
gemma3:12b,75,74,3,0
ministral-3:14b,50,10,6,0
gemma3:12b,75,46,4,100
gemma3:12b,100,75,6,0
gemma3:12b,50,30,6,0
ministral-3:14b,100,82,6,0
ministral-3:14b,75,64,1,100
ministral-3:14b,25,19,6,0
ministral-3:14b,50,18,5,0
ministral-3:14b,25,4,4,0
ministral-3:14b,50,2,6,0
ministral-3:14b,25,14,1,0
qwen3:14b,50,15,6,100
qwen3:14b,100,63,2,100
gemma3:12b,100,99,8,0
qwen3:14b,100,11,0,0
gemma3:12b,100,83,0,0
ministral-3:14b,75,27,2,0
gemma3:12b,100,56,9,100
gemma3:12b,100,68,0,100
gemma3:12b,100,26,0,100
ministral-3:14b,100,20,1,100
gemma3:12b,75,16,1,0
qwen3:14b,100,7,8,0
gemma3:12b,75,65,3,0
gemma3:12b,75,34,3,0
ministral-3:14b,25,0,9,0
gemma3:12b,100,84,5,0
qwen3:14b,50,17,8,100
ministral-3:14b,100,20,7,0
ministral-3:14b,75,2,5,0
qwen3:14b,50,31,7,0
ministral-3:14b,100,38,9,0
qwen3:14b,50,26,1,0
ministral-3:14b,100,22,9,0
gemma3:12b,100,5,9,0
gemma3:12b,50,49,9,100
ministral-3:14b,75,53,8,0
gemma3:12b,75,39,9,0
qwen3:14b,75,35,7,0
qwen3:14b,50,11,2,0
ministral-3:14b,100,41,6,0
gemma3:12b,100,25,1,0
ministral-3:14b,75,71,8,0
ministral-3:14b,50,11,9,0
qwen3:14b,100,17,4,100
qwen3:14b,100,66,9,100
ministral-3:14b,100,32,4,100
gemma3:12b,50,20,5,0
ministral-3:14b,100,65,8,0
ministral-3:14b,100,95,8,100
gemma3:12b,100,13,4,0
ministral-3:14b,100,2,2,0
gemma3:12b,100,1,5,100
gemma3:12b,75,57,0,0
qwen3:14b,75,34,0,0
ministral-3:14b,50,4,1,0
gemma3:12b,50,24,6,0
qwen3:14b,100,1,8,100
qwen3:14b,25,16,9,100
qwen3:14b,50,44,0,100
gemma3:12b,100,3,6,0
qwen3:14b,100,91,1,100
ministral-3:14b,50,1,7,0
qwen3:14b,100,53,6,100
qwen3:14b,75,27,3,0
qwen3:14b,100,72,5,0
qwen3:14b,100,11,2,0
gemma3:12b,100,82,7,0
qwen3:14b,50,6,4,0
gemma3:12b,100,19,2,0
gemma3:12b,50,4,3,0
qwen3:14b,100,15,2,0
qwen3:14b,75,29,8,0
qwen3:14b,100,86,9,0
gemma3:12b,100,32,2,0
ministral-3:14b,50,19,3,0
gemma3:12b,10,2,4,0
gemma3:12b,75,12,2,0
qwen3:14b,75,65,9,0
gemma3:12b,100,53,4,0
gemma3:12b,75,3,2,0
ministral-3:14b,50,17,9,100
ministral-3:14b,75,73,2,0
ministral-3:14b,100,23,0,100
qwen3:14b,100,0,3,0
gemma3:12b,100,77,1,0
ministral-3:14b,50,9,0,0
gemma3:12b,50,22,9,100
ministral-3:14b,50,40,2,100
qwen3:14b,100,9,3,100
ministral-3:14b,100,86,9,100
gemma3:12b,50,41,3,100
gemma3:12b,100,12,9,0
gemma3:12b,75,2,4,0
ministral-3:14b,100,50,8,0
ministral-3:14b,75,31,7,0
ministral-3:14b,75,40,0,0
ministral-3:14b,100,58,6,100
ministral-3:14b,75,60,0,100
ministral-3:14b,100,57,9,0
ministral-3:14b,100,17,6,0
gemma3:12b,50,7,9,0
ministral-3:14b,100,43,2,0
ministral-3:14b,100,37,9,0
qwen3:14b,100,82,2,100
gemma3:12b,50,2,2,0
ministral-3:14b,100,89,5,0
ministral-3:14b,100,45,8,0
qwen3:14b,100,42,6,100
qwen3:14b,10,9,7,0
ministral-3:14b,75,56,0,100
qwen3:14b,50,39,2,100
qwen3:14b,50,31,4,0
gemma3:12b,100,10,2,0
ministral-3:14b,100,13,3,0
qwen3:14b,100,52,3,100
gemma3:12b,100,65,3,100
gemma3:12b,100,55,2,0
gemma3:12b,50,33,9,100
gemma3:12b,75,57,3,0
gemma3:12b,100,51,7,0
ministral-3:14b,50,12,6,0
qwen3:14b,100,10,1,100
qwen3:14b,75,16,1,100
ministral-3:14b,25,8,1,0
gemma3:12b,75,38,8,0
gemma3:12b,75,42,8,0
gemma3:12b,75,59,3,0
gemma3:12b,100,44,4,0
qwen3:14b,100,94,1,0
qwen3:14b,50,33,0,100
gemma3:12b,75,53,7,0
qwen3:14b,50,27,8,100
qwen3:14b,75,50,3,100
ministral-3:14b,25,16,9,0
gemma3:12b,100,52,5,100
qwen3:14b,50,47,9,0
gemma3:12b,25,21,3,100
gemma3:12b,75,12,3,0
qwen3:14b,100,6,0,0
qwen3:14b,50,21,1,0
qwen3:14b,100,30,3,0
qwen3:14b,50,28,9,100
gemma3:12b,100,40,9,0
ministral-3:14b,100,32,1,0
qwen3:14b,100,72,3,0
ministral-3:14b,100,3,2,0
qwen3:14b,50,40,0,0
gemma3:12b,100,28,3,0
qwen3:14b,75,15,2,100
ministral-3:14b,75,19,2,100
ministral-3:14b,75,51,9,0
ministral-3:14b,25,17,8,0
gemma3:12b,75,74,5,0
ministral-3:14b,10,5,0,0
qwen3:14b,25,21,0,100
gemma3:12b,75,0,6,0
ministral-3:14b,75,46,6,0
ministral-3:14b,50,45,3,0
qwen3:14b,75,54,7,100
gemma3:12b,75,65,8,0
ministral-3:14b,75,21,8,0
gemma3:12b,50,15,4,0
gemma3:12b,100,29,6,0
ministral-3:14b,50,25,2,0
gemma3:12b,100,49,9,0
qwen3:14b,75,48,9,0
qwen3:14b,100,16,5,0
ministral-3:14b,100,77,8,0
ministral-3:14b,25,6,3,100
gemma3:12b,75,6,9,100
gemma3:12b,100,52,3,0
ministral-3:14b,25,24,5,0
ministral-3:14b,100,64,9,0
ministral-3:14b,50,33,3,100
ministral-3:14b,75,51,3,0
ministral-3:14b,25,10,7,0
gemma3:12b,75,18,6,0
ministral-3:14b,75,10,9,0
qwen3:14b,50,16,3,100
qwen3:14b,100,25,5,0
qwen3:14b,50,4,7,100
ministral-3:14b,75,26,5,0
qwen3:14b,75,55,2,0
qwen3:14b,50,6,3,0
gemma3:12b,10,9,9,0
gemma3:12b,75,16,5,100
gemma3:12b,100,78,3,0
qwen3:14b,100,42,8,100
qwen3:14b,50,47,0,0
qwen3:14b,25,20,8,100
ministral-3:14b,100,32,6,0
ministral-3:14b,100,32,9,0
qwen3:14b,50,44,5,100
qwen3:14b,50,1,2,100
qwen3:14b,100,24,5,100
gemma3:12b,75,15,4,100
ministral-3:14b,10,0,6,100
ministral-3:14b,75,55,0,0
qwen3:14b,100,86,3,0
ministral-3:14b,75,15,6,0
gemma3:12b,75,3,1,0
qwen3:14b,50,47,7,100
qwen3:14b,75,74,4,100
qwen3:14b,100,16,7,0
ministral-3:14b,100,82,8,0
ministral-3:14b,100,78,7,0
qwen3:14b,100,74,5,0
qwen3:14b,10,9,1,0
gemma3:12b,10,5,6,0
gemma3:12b,50,9,4,0
gemma3:12b,50,12,9,100
gemma3:12b,100,49,5,100
gemma3:12b,25,10,2,100
qwen3:14b,10,2,7,100
ministral-3:14b,50,29,0,0
qwen3:14b,50,19,2,0
qwen3:14b,50,29,8,100
ministral-3:14b,50,39,6,0
gemma3:12b,75,13,6,0
qwen3:14b,100,64,8,100
qwen3:14b,10,7,3,100
ministral-3:14b,75,48,4,0
qwen3:14b,100,59,6,100
qwen3:14b,10,7,1,0
gemma3:12b,50,8,5,0
gemma3:12b,75,12,5,0
qwen3:14b,100,40,2,100
ministral-3:14b,75,58,0,0
qwen3:14b,50,43,9,100
ministral-3:14b,50,23,3,100
ministral-3:14b,50,27,5,0
qwen3:14b,75,31,6,100
ministral-3:14b,75,24,6,0
qwen3:14b,75,41,5,100
gemma3:12b,75,0,7,0
gemma3:12b,100,9,3,0
qwen3:14b,75,58,4,0
qwen3:14b,25,21,7,0
gemma3:12b,50,48,3,0
ministral-3:14b,100,85,0,100
gemma3:12b,75,41,4,100
ministral-3:14b,50,5,3,0
ministral-3:14b,100,6,8,0
ministral-3:14b,75,15,4,0
qwen3:14b,100,35,5,100
qwen3:14b,25,13,3,100
qwen3:14b,75,64,9,0
ministral-3:14b,10,0,3,100
gemma3:12b,50,27,9,100
qwen3:14b,25,3,6,0
qwen3:14b,75,24,1,0
ministral-3:14b,50,3,2,100
qwen3:14b,50,21,4,100
qwen3:14b,75,4,9,100
qwen3:14b,100,94,2,100
gemma3:12b,75,74,1,0
qwen3:14b,75,9,3,100
ministral-3:14b,75,35,9,0
qwen3:14b,75,1,0,100
ministral-3:14b,100,44,7,0
qwen3:14b,100,76,9,0
gemma3:12b,10,5,1,0
qwen3:14b,100,84,1,0
qwen3:14b,100,2,3,0
ministral-3:14b,10,5,1,0
qwen3:14b,100,63,1,100
qwen3:14b,25,11,1,0
qwen3:14b,100,12,5,0
gemma3:12b,75,68,8,0
qwen3:14b,75,58,5,100
ministral-3:14b,75,33,1,0
ministral-3:14b,100,10,6,0
gemma3:12b,50,24,4,0
qwen3:14b,100,22,6,0
gemma3:12b,25,19,0,0
ministral-3:14b,75,6,8,0
gemma3:12b,50,16,7,100
qwen3:14b,75,27,2,100
gemma3:12b,100,23,6,0
ministral-3:14b,75,65,2,0
gemma3:12b,100,92,4,100
ministral-3:14b,100,51,3,0
qwen3:14b,100,89,0,100
qwen3:14b,25,20,0,100
qwen3:14b,75,1,4,100
gemma3:12b,50,16,5,0
gemma3:12b,50,23,7,0
gemma3:12b,75,69,7,0
gemma3:12b,1,0,6,0
qwen3:14b,100,64,0,100
qwen3:14b,100,52,2,100
qwen3:14b,75,71,0,100
ministral-3:14b,25,12,6,0
ministral-3:14b,50,35,7,0
gemma3:12b,50,5,2,100
gemma3:12b,100,19,1,100
ministral-3:14b,50,49,4,100
gemma3:12b,25,0,3,100
gemma3:12b,75,13,4,100
qwen3:14b,25,19,5,100
ministral-3:14b,100,28,8,0
gemma3:12b,10,2,7,0
qwen3:14b,25,23,5,100
gemma3:12b,50,44,7,0
gemma3:12b,100,11,3,0
qwen3:14b,75,55,5,0
gemma3:12b,75,11,7,100
ministral-3:14b,75,45,3,0
ministral-3:14b,100,69,0,0
ministral-3:14b,75,13,2,0
ministral-3:14b,25,6,0,0
ministral-3:14b,25,2,1,100
qwen3:14b,50,16,7,100
qwen3:14b,75,51,1,100
gemma3:12b,75,70,3,0
qwen3:14b,75,46,4,0
gemma3:12b,100,59,2,0
qwen3:14b,75,24,8,100
qwen3:14b,75,25,1,100
gemma3:12b,25,11,6,100
gemma3:12b,75,54,9,0
gemma3:12b,50,40,7,0
qwen3:14b,50,1,9,0
qwen3:14b,75,33,4,0
qwen3:14b,25,16,8,0
gemma3:12b,100,2,8,0
gemma3:12b,25,11,3,100
qwen3:14b,50,22,1,0
qwen3:14b,50,37,6,0
ministral-3:14b,75,42,1,0
gemma3:12b,75,72,5,0
ministral-3:14b,100,83,6,0
qwen3:14b,10,9,0,0
qwen3:14b,75,36,7,0
gemma3:12b,50,4,6,0
qwen3:14b,100,55,5,0
ministral-3:14b,75,26,3,0
ministral-3:14b,75,44,2,0
ministral-3:14b,75,20,2,0
gemma3:12b,100,73,4,100
gemma3:12b,100,80,8,0
gemma3:12b,75,28,4,0
ministral-3:14b,100,22,2,0
gemma3:12b,100,87,2,0
qwen3:14b,25,3,2,100
gemma3:12b,75,26,5,100
gemma3:12b,100,31,5,100
ministral-3:14b,100,40,1,0
ministral-3:14b,75,14,0,0
gemma3:12b,100,41,7,0
qwen3:14b,100,44,9,100
ministral-3:14b,25,3,9,0
ministral-3:14b,50,17,5,0
ministral-3:14b,50,14,6,0
gemma3:12b,100,85,7,0
ministral-3:14b,75,52,0,0
qwen3:14b,75,1,2,0
gemma3:12b,50,21,6,0
gemma3:12b,75,52,0,0
qwen3:14b,50,7,1,0
ministral-3:14b,75,1,0,0
gemma3:12b,50,18,9,100
gemma3:12b,100,95,2,0
gemma3:12b,75,39,4,100
gemma3:12b,100,42,5,100
ministral-3:14b,75,11,5,0
qwen3:14b,50,16,1,0
gemma3:12b,50,48,7,0
qwen3:14b,100,42,9,0
gemma3:12b,50,2,6,0
qwen3:14b,75,9,9,100
qwen3:14b,100,23,9,100
ministral-3:14b,100,55,9,0
qwen3:14b,100,82,8,0
gemma3:12b,75,4,1,0
gemma3:12b,50,39,0,0
gemma3:12b,10,2,5,0
qwen3:14b,75,5,8,100
ministral-3:14b,100,77,6,0
ministral-3:14b,50,20,8,100
qwen3:14b,100,42,7,0
qwen3:14b,75,65,7,100
qwen3:14b,75,9,8,0
ministral-3:14b,100,66,9,0
ministral-3:14b,10,3,5,0
qwen3:14b,100,83,6,0
qwen3:14b,75,67,9,100
gemma3:12b,100,86,3,0
qwen3:14b,50,49,5,0
ministral-3:14b,100,92,3,0
ministral-3:14b,50,42,6,0
gemma3:12b,100,60,6,100
ministral-3:14b,100,6,9,0
gemma3:12b,50,11,6,0
qwen3:14b,100,98,1,0
qwen3:14b,100,26,2,0
gemma3:12b,75,6,7,0
ministral-3:14b,100,71,7,0
gemma3:12b,100,71,7,0
gemma3:12b,100,89,0,100
qwen3:14b,75,53,5,100
ministral-3:14b,100,84,0,0
gemma3:12b,50,21,7,100
ministral-3:14b,100,27,3,0
ministral-3:14b,75,31,0,0
gemma3:12b,1,0,5,0
qwen3:14b,25,5,6,100
ministral-3:14b,75,22,8,0
qwen3:14b,75,45,9,0
gemma3:12b,100,51,6,0
gemma3:12b,50,21,8,100
gemma3:12b,25,23,4,100
gemma3:12b,100,0,8,0
qwen3:14b,75,18,2,100
ministral-3:14b,75,22,7,0
gemma3:12b,100,98,6,0
qwen3:14b,100,28,5,0
qwen3:14b,100,98,6,0
ministral-3:14b,25,14,6,100
qwen3:14b,100,19,6,100
qwen3:14b,50,41,7,100
ministral-3:14b,75,64,3,0
gemma3:12b,75,19,4,0
qwen3:14b,100,61,2,100
ministral-3:14b,50,36,6,0
qwen3:14b,75,73,6,0
ministral-3:14b,25,21,9,0
gemma3:12b,100,85,4,100
ministral-3:14b,10,1,6,0
ministral-3:14b,100,1,9,0
qwen3:14b,100,28,9,100
qwen3:14b,50,18,1,100
gemma3:12b,10,7,8,0
ministral-3:14b,50,37,4,100
gemma3:12b,75,24,3,0
qwen3:14b,75,37,1,100
ministral-3:14b,100,79,5,0
qwen3:14b,100,38,9,0
gemma3:12b,75,6,3,0
ministral-3:14b,100,2,5,100
ministral-3:14b,75,59,1,0
ministral-3:14b,75,15,3,0
ministral-3:14b,75,29,3,0
qwen3:14b,50,28,8,100
qwen3:14b,75,63,0,100
ministral-3:14b,100,11,8,0
gemma3:12b,75,9,3,100
gemma3:12b,100,20,8,0
ministral-3:14b,10,6,5,0
gemma3:12b,75,49,9,0
gemma3:12b,100,97,4,0
qwen3:14b,100,16,1,100
ministral-3:14b,50,19,7,0
ministral-3:14b,50,39,7,0
gemma3:12b,75,6,0,0
qwen3:14b,100,92,2,100
qwen3:14b,50,35,4,0
ministral-3:14b,75,74,2,100
gemma3:12b,50,8,9,100
qwen3:14b,10,6,0,0
qwen3:14b,100,1,9,0
qwen3:14b,25,2,6,0
ministral-3:14b,50,12,3,0
ministral-3:14b,100,50,5,0
ministral-3:14b,100,80,4,0
ministral-3:14b,100,54,8,0
gemma3:12b,100,0,5,100
qwen3:14b,75,29,2,100
qwen3:14b,100,18,1,100
ministral-3:14b,25,1,5,0
gemma3:12b,100,46,4,0
gemma3:12b,100,14,7,0
ministral-3:14b,50,49,5,0
gemma3:12b,75,40,3,0
gemma3:12b,100,12,5,100
ministral-3:14b,75,9,0,100
gemma3:12b,100,94,6,0
gemma3:12b,50,45,1,0
ministral-3:14b,100,95,6,0
qwen3:14b,75,60,6,0
qwen3:14b,50,47,8,0
qwen3:14b,25,20,9,100
ministral-3:14b,100,4,6,0
ministral-3:14b,75,51,1,0
qwen3:14b,75,31,1,0
qwen3:14b,50,30,4,100
ministral-3:14b,75,26,8,100
ministral-3:14b,25,8,8,0
gemma3:12b,100,46,8,0
qwen3:14b,75,36,9,0
ministral-3:14b,25,8,7,0
qwen3:14b,50,35,3,100
qwen3:14b,100,4,3,0
gemma3:12b,10,6,1,0
qwen3:14b,100,71,1,0
gemma3:12b,100,46,9,0
qwen3:14b,75,36,0,100
ministral-3:14b,10,8,4,0
gemma3:12b,100,90,9,100
gemma3:12b,100,41,6,0
gemma3:12b,10,0,2,0
ministral-3:14b,75,70,2,100
gemma3:12b,10,1,9,0
gemma3:12b,50,25,2,100
gemma3:12b,75,19,9,100
qwen3:14b,100,98,9,100
ministral-3:14b,100,64,4,100
qwen3:14b,75,52,8,0
ministral-3:14b,75,51,2,0
ministral-3:14b,100,34,0,0
ministral-3:14b,100,97,2,0
ministral-3:14b,75,59,8,0
ministral-3:14b,75,0,1,0
qwen3:14b,75,36,1,0
ministral-3:14b,50,42,7,0
gemma3:12b,50,33,5,0
ministral-3:14b,75,47,5,0
qwen3:14b,75,65,4,0
qwen3:14b,100,85,9,100
qwen3:14b,75,38,2,100
ministral-3:14b,75,69,6,0
gemma3:12b,75,73,0,0
ministral-3:14b,50,23,2,0
qwen3:14b,100,7,7,100
gemma3:12b,25,18,8,0
ministral-3:14b,100,1,7,100
ministral-3:14b,100,87,3,0
ministral-3:14b,75,61,2,0
qwen3:14b,75,22,3,0
qwen3:14b,100,27,8,100
qwen3:14b,25,14,8,100
ministral-3:14b,75,71,3,0
ministral-3:14b,50,11,0,0
gemma3:12b,100,61,2,0
gemma3:12b,50,13,5,100
qwen3:14b,100,27,5,0
qwen3:14b,100,90,2,100
qwen3:14b,25,22,7,0
gemma3:12b,100,59,3,0
gemma3:12b,50,30,7,0
gemma3:12b,75,60,6,100
ministral-3:14b,50,8,1,100
gemma3:12b,50,19,4,0
qwen3:14b,75,6,1,0
qwen3:14b,50,43,2,0
gemma3:12b,100,28,4,100
gemma3:12b,75,59,0,0
qwen3:14b,50,23,4,100
qwen3:14b,50,8,5,0
gemma3:12b,50,39,7,0
ministral-3:14b,75,11,2,0
qwen3:14b,100,78,4,100
gemma3:12b,75,56,0,100
ministral-3:14b,50,21,6,0
qwen3:14b,75,19,0,0
gemma3:12b,50,29,2,0
ministral-3:14b,100,12,8,100
ministral-3:14b,100,85,5,0
qwen3:14b,50,28,7,100
ministral-3:14b,100,94,3,100
qwen3:14b,100,97,5,100
ministral-3:14b,10,9,6,0
ministral-3:14b,25,21,4,100
gemma3:12b,75,39,7,0
qwen3:14b,10,9,2,0
qwen3:14b,75,53,0,100
ministral-3:14b,25,15,4,0
qwen3:14b,100,39,7,0
gemma3:12b,100,24,1,0
qwen3:14b,75,21,8,100
qwen3:14b,50,40,7,100
qwen3:14b,100,11,9,100
ministral-3:14b,25,12,7,0
qwen3:14b,100,69,4,100
gemma3:12b,75,1,4,0
qwen3:14b,100,93,0,100
qwen3:14b,100,5,5,0
gemma3:12b,100,74,4,0
gemma3:12b,100,40,2,0
qwen3:14b,100,24,9,100
ministral-3:14b,100,69,1,0
gemma3:12b,50,47,5,0
qwen3:14b,50,48,8,0
qwen3:14b,50,31,3,100
gemma3:12b,75,69,9,0
ministral-3:14b,50,49,1,0
ministral-3:14b,75,50,1,0
qwen3:14b,100,59,0,0
ministral-3:14b,100,42,3,0
gemma3:12b,100,49,3,0
ministral-3:14b,75,59,4,0
ministral-3:14b,50,24,1,100
qwen3:14b,25,4,6,0
gemma3:12b,75,66,9,0
gemma3:12b,10,9,4,0
qwen3:14b,75,70,5,0
ministral-3:14b,75,63,5,0
gemma3:12b,100,79,0,0
gemma3:12b,100,3,4,0
gemma3:12b,75,12,8,0
gemma3:12b,100,96,8,0
ministral-3:14b,50,9,1,0
gemma3:12b,100,47,9,0
qwen3:14b,100,87,6,0
ministral-3:14b,50,40,5,0
ministral-3:14b,75,70,3,0
gemma3:12b,50,46,8,100
ministral-3:14b,100,53,8,0
ministral-3:14b,100,39,0,100
gemma3:12b,50,47,3,0
ministral-3:14b,50,7,0,100
gemma3:12b,75,8,9,0
gemma3:12b,75,10,2,0
qwen3:14b,75,72,5,100
ministral-3:14b,75,4,6,0
gemma3:12b,100,96,3,0
gemma3:12b,10,9,1,0
qwen3:14b,50,28,4,100
ministral-3:14b,100,41,3,0
qwen3:14b,100,23,1,100
ministral-3:14b,100,87,7,100
ministral-3:14b,75,56,9,0
ministral-3:14b,100,61,2,0
ministral-3:14b,75,32,0,0
gemma3:12b,100,52,6,0
gemma3:12b,100,6,6,0
qwen3:14b,100,75,6,100
gemma3:12b,50,0,2,0
ministral-3:14b,75,70,6,0
ministral-3:14b,75,14,9,0
gemma3:12b,75,6,1,0
qwen3:14b,25,16,5,100
qwen3:14b,100,76,7,0
gemma3:12b,100,2,4,0
gemma3:12b,100,1,0,100
qwen3:14b,100,33,2,100
qwen3:14b,100,20,2,0
gemma3:12b,50,43,4,0
gemma3:12b,50,0,8,0
qwen3:14b,50,37,8,100
ministral-3:14b,50,47,4,0
qwen3:14b,75,46,0,100
ministral-3:14b,25,13,3,100
ministral-3:14b,100,75,8,0
gemma3:12b,75,39,0,0
gemma3:12b,100,16,4,0
gemma3:12b,25,6,1,0
qwen3:14b,50,20,6,0
ministral-3:14b,50,29,6,0
gemma3:12b,50,1,4,0
ministral-3:14b,50,24,9,0
gemma3:12b,50,47,6,0
ministral-3:14b,25,16,5,0
gemma3:12b,100,4,8,0
ministral-3:14b,100,17,1,0
qwen3:14b,75,23,4,0
qwen3:14b,50,21,2,0
gemma3:12b,25,5,3,100
ministral-3:14b,75,62,2,0
qwen3:14b,50,31,1,0
gemma3:12b,25,21,4,100
qwen3:14b,50,8,4,0
gemma3:12b,100,40,3,0
gemma3:12b,75,14,5,100
ministral-3:14b,75,74,1,0
qwen3:14b,50,35,9,0
qwen3:14b,100,94,3,0
ministral-3:14b,100,6,2,0
qwen3:14b,50,10,0,100
ministral-3:14b,100,35,1,0
gemma3:12b,10,9,6,0
ministral-3:14b,75,65,1,0
gemma3:12b,25,20,7,0
qwen3:14b,100,23,6,100
ministral-3:14b,100,1,3,0
gemma3:12b,50,24,3,0
qwen3:14b,25,8,8,0
qwen3:14b,75,13,6,100
ministral-3:14b,100,29,7,0
ministral-3:14b,100,14,8,0
gemma3:12b,75,29,3,0
ministral-3:14b,100,82,2,0
ministral-3:14b,50,13,9,0
qwen3:14b,50,11,8,100
ministral-3:14b,100,63,5,0
gemma3:12b,75,21,9,0
ministral-3:14b,100,93,5,0
qwen3:14b,50,11,3,100
gemma3:12b,75,58,3,0
gemma3:12b,75,59,8,100
gemma3:12b,100,30,0,100
qwen3:14b,100,90,3,0
gemma3:12b,50,12,2,0
qwen3:14b,1,0,0,0
gemma3:12b,75,56,6,0
qwen3:14b,100,46,4,100
