model,nb_users,agent_id,run_id,percent
gemma3:12b,100,73,5,0
ministral-3:14b,75,64,4,0
qwen3:14b,100,99,8,0
ministral-3:14b,50,22,1,0
gemma3:12b,75,15,2,0
qwen3:14b,100,79,6,0
qwen3:14b,75,45,7,0
qwen3:14b,100,15,8,100
ministral-3:14b,100,26,1,0
gemma3:12b,100,92,5,0
ministral-3:14b,100,66,6,0
qwen3:14b,10,1,9,0
gemma3:12b,75,50,1,0
gemma3:12b,100,96,2,100
ministral-3:14b,75,52,9,0
gemma3:12b,50,11,8,0
qwen3:14b,75,27,0,100
gemma3:12b,75,42,3,0
ministral-3:14b,50,15,3,0
gemma3:12b,50,36,2,100
gemma3:12b,100,89,3,0
qwen3:14b,50,9,5,0
gemma3:12b,100,36,3,0
qwen3:14b,75,55,4,0
qwen3:14b,75,30,7,0
ministral-3:14b,100,59,8,0
gemma3:12b,75,53,6,0
qwen3:14b,75,54,6,0
ministral-3:14b,75,13,6,0
ministral-3:14b,100,39,2,0
gemma3:12b,50,9,6,0
ministral-3:14b,100,0,0,0
ministral-3:14b,100,15,8,0
ministral-3:14b,50,43,2,0
gemma3:12b,100,57,8,0
ministral-3:14b,50,30,3,0
ministral-3:14b,25,10,4,0
gemma3:12b,25,18,0,0
ministral-3:14b,100,1,5,0
gemma3:12b,100,22,1,100
gemma3:12b,50,15,7,0
qwen3:14b,100,64,5,100
ministral-3:14b,100,99,5,0
gemma3:12b,10,4,3,0
ministral-3:14b,25,2,9,0
gemma3:12b,100,15,7,0
ministral-3:14b,25,20,2,0
gemma3:12b,100,44,5,100
ministral-3:14b,75,43,1,0
qwen3:14b,75,36,8,100
qwen3:14b,75,11,0,0
qwen3:14b,100,44,1,0
gemma3:12b,100,38,5,100
ministral-3:14b,100,37,3,0
qwen3:14b,25,23,1,100
ministral-3:14b,25,0,0,0
gemma3:12b,25,23,6,0
gemma3:12b,50,41,9,0
ministral-3:14b,50,49,7,0
gemma3:12b,75,35,6,0
ministral-3:14b,75,32,9,100
qwen3:14b,100,79,2,100
ministral-3:14b,100,89,2,0
ministral-3:14b,50,37,6,0
qwen3:14b,100,70,3,0
