GPU_Name;Impact Category;Unit;Casing;Heatsink;PCB;Main dies;POP;Upstream transport
GH200;ADPf - Resource use, fossils;MJ;64.2;0.00;647.8;2958.0;0.00;0.00
GH200;ADPe - Resource use, minerals and metals;kg Sb eq;0.000818;0.00;0.02293;0.003242;0.00;0.00
GH200;WU - Water use;m3;5.53;0.00;21.48;80.38;0.00;0.00
Nvidia P100;AP - Acidification;mol H+ eq;0.00370;0.134;0.0943;0.278;0.00;0.00152
Nvidia P100;GWP - Climate change;kg CO2 eq;0.961;2.18;11.4;50.5;0.00;0.227
Nvidia P100;CTUe - Ecotoxicity, freshwater;CTUe;10.2;146.0;173.0;645.0;0.00;0.153
Nvidia P100;PM - EF-particulate Matter;disease occurrence;2.24e-08;8.12e-07;4.89e-07;1.54e-06;0.00;1.31e-08
Nvidia P100;Epf - Eutrophication, freshwater;kg P eq;2.12e-06;0.00100;4.67e-05;0.000157;0.00;8.51e-08
Nvidia P100;Epm - Eutrophication marine;kg N eq;0.000553;0.00233;0.00846;0.0335;0.00;0.000715
Nvidia P100;Ept - Eutrophication, terrestrial;mol N eq;0.00605;0.0282;0.0902;0.349;0.00;0.00785
Nvidia P100;CTUh-c - Human toxicity, cancer;CTUh;5.73e-09;1.44e-05;5.59e-09;4.73e-09;0.00;4.06e-12
Nvidia P100;CTUh-nc - Human toxicity, non-cancer;CTUh;1.25e-08;1.83e-06;3.10e-07;2.74e-07;0.00;5.02e-10
Nvidia P100;IR - Ionising radiation, human health;kBq U-235 eq;0.135;218.0;2.18;0.423;0.00;0.000553
Nvidia P100;LU - Land use;Pt;0.339;2.39;0.0559;0.201;0.00;0.00
Nvidia P100;ODP - Ozone depletion;kg CFC11 eq;1.01e-08;5.28e-07;1.61e-06;2.20e-05;0.00;3.48e-10
Nvidia P100;POCP - Photochemical ozone formation - human health;kg NMVOC eq;0.00208;0.0159;0.0328;0.110;0.00;0.00199
Nvidia P100;ADPf - Resource use, fossils;MJ;20.9;28.5;177.0;660.0;0.00;3.17
Nvidia P100;ADPe - Resource use, minerals and metals;kg Sb eq;2.09e-07;0.00106;0.00359;1.40e-06;0.00;8.93e-09
Nvidia P100;WU - Water use;m3;0.167;6.62;4.78;19.3;0.00;0.000862
RTXA4500;AP - Acidification;mol H+ eq;0.00375;0.105;0.0674;0.462;0.00;0.00169
RTXA4500;GWP - Climate change;kg CO2 eq;0.914;10.3;7.96;80.2;0.00;0.253
RTXA4500;CTUe - Ecotoxicity, freshwater;CTUe;3.46;1050.0;125.0;994.0;0.00;0.170
RTXA4500;PM - EF-particulate Matter;disease occurrence;1.88e-08;8.42e-07;3.54e-07;2.55e-06;0.00;1.46e-08
RTXA4500;Epf - Eutrophication, freshwater;kg P eq;1.28e-07;0.000196;2.91e-05;0.000197;0.00;9.47e-08
RTXA4500;Epm - Eutrophication marine;kg N eq;0.000557;0.00740;0.00600;0.0530;0.00;0.000796
RTXA4500;Ept - Eutrophication, terrestrial;mol N eq;0.00608;0.0815;0.0639;0.555;0.00;0.00873
RTXA4500;CTUh-c - Human toxicity, cancer;CTUh;9.71e-11;2.05e-06;3.78e-09;8.94e-09;0.00;4.52e-12
RTXA4500;CTUh-nc - Human toxicity, non-cancer;CTUh;1.84e-08;3.58e-07;2.24e-07;5.49e-07;0.00;5.59e-10
RTXA4500;IR - Ionising radiation, human health;kBq U-235 eq;0.00155;38.6;6.11;0.962;0.00;0.000615
RTXA4500;LU - Land use;Pt;0.00;0.317;0.0314;0.201;0.00;0.00
RTXA4500;ODP - Ozone depletion;kg CFC11 eq;1.57e-09;1.96e-06;1.15e-06;2.60e-05;0.00;3.87e-10
RTXA4500;POCP - Photochemical ozone formation - human health;kg NMVOC eq;0.00220;0.0284;0.0234;0.178;0.00;0.00221
RTXA4500;ADPf - Resource use, fossils;MJ;60.1;178.0;129.0;979.0;0.00;3.52
RTXA4500;ADPe - Resource use, minerals and metals;kg Sb eq;2.98e-08;0.000209;0.00278;0.00133;0.00;9.94e-09
RTXA4500;WU - Water use;m3;0.306;3.16;3.08;23.4;0.00;0.000959
Titan RTX;AP - Acidification;mol H+ eq;0.0147;0.0247;0.108;0.595;0.00;0.00146
Titan RTX;GWP - Climate change;kg CO2 eq;4.01;1.72;13.3;104.0;0.00;0.219
Titan RTX;CTUe - Ecotoxicity, freshwater;CTUe;9.10;39.9;200.0;1290.0;0.00;0.147
Titan RTX;PM - EF-particulate Matter;disease occurrence;7.28e-08;1.80e-07;5.67e-07;3.28e-06;0.00;1.26e-08
Titan RTX;Epf - Eutrophication, freshwater;kg P eq;1.27e-06;0.000103;4.85e-05;0.000260;0.00;8.19e-08
Titan RTX;Epm - Eutrophication marine;kg N eq;0.00234;0.00134;0.00981;0.0685;0.00;0.000688
Titan RTX;Ept - Eutrophication, terrestrial;mol N eq;0.0255;0.0148;0.105;0.717;0.00;0.00755
Titan RTX;CTUh-c - Human toxicity, cancer;CTUh;2.28e-09;1.44e-06;6.48e-09;1.14e-08;0.00;3.90e-12
Titan RTX;CTUh-nc - Human toxicity, non-cancer;CTUh;8.55e-08;2.48e-07;3.50e-07;6.98e-07;0.00;4.83e-10
Titan RTX;IR - Ionising radiation, human health;kBq U-235 eq;0.0467;25.3;3.82;1.22;0.00;0.000532
Titan RTX;LU - Land use;Pt;0.112;0.209;0.0538;0.270;0.00;0.00
Titan RTX;ODP - Ozone depletion;kg CFC11 eq;5.50e-09;2.57e-07;1.87e-06;3.44e-05;0.00;3.35e-10
Titan RTX;POCP - Photochemical ozone formation - human health;kg NMVOC eq;0.00944;0.00625;0.0377;0.229;0.00;0.00191
Titan RTX;ADPf - Resource use, fossils;MJ;281.0;27.5;201.0;1270.0;0.00;3.05
Titan RTX;ADPe - Resource use, minerals and metals;kg Sb eq;1.56e-07;0.000244;0.00383;0.00159;0.00;8.60e-09
Titan RTX;WU - Water use;m3;1.43;1.10;5.00;30.5;0.00;0.000829
GEFORCE GTX 1080 Ti;AP - Acidification;mol H+ eq;0.0190;0.106;0.0850;0.346;0.00;0.00159
GEFORCE GTX 1080 Ti;GWP - Climate change;kg CO2 eq;2.15;1.73;10.2;58.8;0.00;0.239
GEFORCE GTX 1080 Ti;CTUe - Ecotoxicity, freshwater;CTUe;159.0;116.0;158.0;718.0;0.00;0.161
GEFORCE GTX 1080 Ti;PM - EF-particulate Matter;disease occurrence;1.20e-07;6.44e-07;4.51e-07;1.90e-06;0.00;1.38e-08
GEFORCE GTX 1080 Ti;Epf - Eutrophication, freshwater;kg P eq;1.76e-05;0.000796;3.14e-05;0.000125;0.00;8.94e-08
GEFORCE GTX 1080 Ti;Epm - Eutrophication marine;kg N eq;0.00196;0.00185;0.00762;0.0388;0.00;0.000751
GEFORCE GTX 1080 Ti;Ept - Eutrophication, terrestrial;mol N eq;0.0217;0.0224;0.0813;0.407;0.00;0.00824
