nb_users,latency
1,29.72468614578247
1,31.504908323287964
1,24.400431871414185
1,22.631303787231445
1,20.810672760009766
1,24.79491686820984
1,27.748919010162354
1,21.842013120651245
1,31.09696626663208
1,25.381194353103638
10,68.18762397766113
10,67.686194896698
10,73.27718710899353
10,88.31086730957031
10,93.75318694114685
10,78.63721418380737
10,70.09172034263611
10,95.2233452796936
10,72.02852654457092
10,90.34480285644531
10,82.93247556686401
10,79.0923204421997
10,79.36106538772583
10,78.80354475975037
10,89.09282207489014
10,74.63939905166626
10,79.3668646812439
10,90.18587970733643
10,76.88237452507019
10,71.26039719581604
10,94.61090755462646
10,94.36407113075256
10,78.56734228134155
10,75.44621014595032
10,69.31305837631226
10,94.15868425369263
10,85.36304354667664
10,58.68637681007385
10,75.81841492652893
10,70.33291053771973
10,65.2910544872284
10,95.44674229621887
10,85.464191198349
10,96.42283654212952
10,95.58270239830017
10,77.547776222229
10,87.26340246200562
10,73.46747159957886
10,78.46772885322571
10,83.49450993537903
10,94.44062185287476
10,129.2104618549347
10,68.28473114967346
10,96.24990606307983
10,77.13484811782837
10,80.5202624797821
10,76.66011357307434
10,99.9991946220398
10,76.30645799636841
10,91.27541780471802
10,79.32786750793457
10,121.07067275047302
10,95.70906376838684
10,97.4858124256134
10,80.48543667793274
10,89.76584696769714
10,108.84351778030396
10,90.6169364452362
10,63.56560802459717
10,66.80019021034241
10,119.21662759780884
10,157.5768449306488
10,154.39055633544922
10,114.04345059394836
10,108.75997400283813
10,108.91837549209595
10,55.02634334564209
10,65.07817602157593
10,108.6445107460022
10,155.8029248714447
10,85.73261833190918
10,91.3798725605011
10,81.59252738952637
10,61.48972749710083
10,76.22655439376831
10,50.16314196586609
10,91.18548798561096
10,119.10239243507385
10,46.80303192138672
10,55.816099405288696
10,91.15783500671387
10,100.25171852111816
10,87.292733669281
10,63.50152897834778
10,72.21638131141663
10,109.94047999382019
10,53.5232367515564
10,94.54819941520691
10,77.52890110015869
10,94.47398972511292
10,76.13538932800293
10,47.78563070297241
10,145.9315288066864
10,140.86065578460693
10,77.96749639511108
10,50.978975772857666
10,88.74345302581787
10,86.10101842880249
10,145.21358704566956
10,77.80555081367493
25,135.25920152664185
25,286.52813720703125
25,178.7952904701233
25,271.7448706626892
25,275.02709436416626
25,242.88190031051636
25,341.42747616767883
25,262.30801486968994
25,139.1863260269165
25,164.81495428085327
25,165.16439247131348
25,214.3610258102417
25,288.0876169204712
25,191.6446132659912
25,172.52490186691284
25,342.23249864578247
25,256.55873107910156
25,183.64447665214539
25,253.2344045639038
25,341.1951324939728
25,299.43371319770813
25,242.21945667266846
25,253.93342208862305
25,243.49323296546936
25,226.46776342391968
25,182.24797463417053
25,189.16274905204773
25,242.28749132156372
25,176.2533404827118
25,213.4248390197754
25,168.6292016506195
25,120.90597438812256
25,244.24220371246338
25,198.4650206565857
25,232.43005442619324
25,113.17764377593994
25,235.7241916656494
25,118.86086010932922
25,213.35192847251892
25,196.8132848739624
25,198.33718276023865
25,234.61825609207153
25,226.78611731529236
25,179.25194311141968
25,275.286509513855
25,234.98098754882812
25,238.51219248771667
25,241.9554259777069
25,279.93244981765747
25,204.58514380455017
25,167.7855293750763
25,104.46384811401367
25,309.6185448169708
25,314.22940373420715
25,317.2509038448334
25,206.31357789039612
25,284.90426564216614
25,213.6931972503662
25,114.11195135116577
25,169.99611377716064
25,270.4360239505768
25,114.06137824058533
25,200.30748009681702
25,172.96612906455994
25,241.4952747821808
25,222.55648040771484
25,149.36411905288696
25,227.51260709762573
25,226.5970277786255
25,236.9015917778015
25,115.52422666549683
25,185.30540537834167
25,317.1504273414612
25,176.86975026130676
25,213.38154196739197
25,209.79148054122925
25,174.4145565032959
25,179.26285696029663
25,158.81015992164612
25,200.11985301971436
25,219.55535984039307
25,202.59358143806458
25,199.30036115646362
25,193.78643918037415
25,213.87947487831116
25,210.61381196975708
25,217.30878973007202
25,186.16654920578003
25,224.572772026062
25,196.42880868911743
25,209.86219787597656
