timestamp,gpu_power
.008,3592
.028,3592
.083,3592
.140,3592
.194,3592
.251,3592
.308,3592
.364,3592
.420,3592
.477,3592
.532,3592
.590,3592
.645,4788
.700,7977
.756,10370
.814,11173
.868,13960
.924,15955
.981,17949
1.038,19944
1.093,21548
1.151,23144
1.206,24341
1.265,25538
1.327,26336
1.388,27134
1.456,27932
1.516,28730
1.583,29141
1.644,29940
1.708,29940
1.772,30738
1.834,31137
1.892,30738
1.950,31536
2.007,31536
2.063,31137
2.119,31137
2.175,30738
2.239,31137
2.294,31137
2.351,31536
2.408,31536
2.464,31536
2.521,31536
2.574,31936
2.631,31936
2.685,32335
2.743,31936
2.799,32335
2.855,32335
2.911,32335
2.968,32335
3.024,32335
3.079,32734
3.136,32335
3.193,32335
3.248,32734
3.309,32734
3.374,32335
3.429,32335
3.486,32335
3.544,32335
3.603,31936
3.664,32335
3.724,32335
3.784,32335
3.845,32335
3.905,32335
3.964,32335
4.023,32734
4.080,32335
4.138,32734
4.196,32734
4.255,32734
4.315,32734
4.376,32734
4.436,32734
4.496,32734
4.554,32734
4.612,32734
4.670,32734
4.726,32734
4.783,32734
4.842,32734
4.901,32348
4.961,32348
5.019,32335
5.077,32348
5.137,32348
5.196,32335
5.253,32734
5.312,32734
5.369,32734
5.425,33133
5.482,33133
5.539,33133
5.594,33133
5.651,33133
5.708,33532
5.764,33133
5.825,33133
5.888,33133
5.952,33133
6.012,33532
6.070,33146
6.129,33133
6.189,33133
6.250,32734
6.312,33133
6.371,33133
6.430,32734
6.491,33133
6.550,33133
6.608,32335
6.670,32734
6.728,32734
6.789,33133
6.850,32734
6.911,33133
6.971,32734
7.031,33120
7.090,32734
7.153,33133
7.211,33133
7.268,33133
7.327,33133
7.385,33133
7.442,33133
7.498,33133
7.555,33133
7.613,33133
7.671,33133
7.730,33133
7.790,33133
7.850,33133
7.908,33133
7.968,33133
8.027,33133
8.087,33133
8.148,32734
8.213,32734
8.274,32335
8.329,32734
8.386,32734
8.443,33133
8.500,32734
8.558,33133
8.614,33133
8.673,33133
8.730,33133
8.785,33133
8.843,33133
8.898,33532
8.954,33133
9.011,33532
9.069,33133
9.126,33133
9.186,33133
9.247,33133
9.304,33532
9.362,33532
9.420,33532
9.481,33532
9.539,33532
9.598,33146
9.657,33532
9.718,33146
9.776,33532
9.839,33146
9.898,33532
9.957,33146
10.016,33133
10.075,33133
10.135,32734
10.192,33133
10.252,33133
10.312,33133
10.371,33133
10.435,33133
10.493,33133
10.552,33133
10.611,32747
10.672,32734
10.731,32734
10.791,33133
10.848,33133
10.906,33532
10.962,32747
11.020,32734
11.078,32734
11.140,33133
11.196,33133
11.260,33133
11.317,32734
11.374,33133
11.436,32747
11.495,32747
11.555,32335
11.613,32734
11.673,32734
11.733,32734
11.792,33133
11.852,33133
11.913,33133
11.973,33133
12.031,33532
12.092,33133
12.152,33133
12.209,33133
12.266,32734
12.328,33133
12.390,32734
12.448,32734
12.509,32335
12.568,32734
12.628,32734
12.687,32734
12.747,32734
12.805,32734
12.861,33133
12.918,33133
12.975,33133
13.034,33133
13.089,33532
13.147,33133
13.207,33532
13.265,33133
13.324,33532
13.384,33133
13.448,33532
13.514,33133
13.578,33133
13.640,33133
13.697,33133
13.755,33133
13.810,33133
13.867,33532
13.925,33532
13.981,33133
14.038,33133
14.095,33133
14.152,33133
14.210,33133
14.266,33133
14.325,33133
14.382,33532
14.440,33532
14.497,33532
14.553,33133
14.610,33133
14.667,33133
14.726,33532
14.782,33133
14.839,33133
14.894,33133
14.954,33133
15.010,32734
15.068,33133
15.128,33133
15.188,33133
15.248,32734
15.310,33133
15.369,32747
15.428,33133
15.487,32747
15.548,33133
15.608,32734
15.667,33133
15.724,33133
15.782,33133
15.838,33133
15.896,33133
15.953,33532
16.010,33532
16.067,33532
16.124,33532
16.182,33532
16.239,33532
16.295,33532
16.354,33532
16.412,33532
16.471,33133
16.527,33532
16.583,33133
16.640,33133
16.697,33133
16.754,33133
16.811,33133
16.867,33133
16.923,33133
16.980,32747
17.039,32734
17.095,32734
17.153,32734
17.209,33133
17.265,32734
17.325,33133
17.383,33133
17.441,33133
17.499,33133
17.556,33133
17.613,33133
17.669,33532
17.725,33133
17.784,33532
17.840,33133
17.898,33532
17.954,33133
18.011,33532
18.068,33133
18.124,33532
18.182,33133
18.239,33532
18.293,33133
18.355,33532
18.415,33133
18.471,33532
18.529,33133
18.590,33133
18.649,33133
18.708,33133
18.768,33133
18.826,33133
18.885,33133
18.944,33133
19.003,33133
19.061,33133
19.121,33133
19.180,33133
19.237,33133
19.293,33133
19.352,33133
19.410,33133
19.467,33133
19.524,33133
19.580,32734
19.637,32734
19.692,32734
19.749,33133
19.806,33133
19.861,33133
19.919,32734
19.974,33133
20.031,32734
20.087,32734
20.143,32734
20.203,32335
20.264,32734
20.321,32335
20.378,32734
20.435,32734
20.497,32734
20.555,32734
20.616,32734
20.677,32734
20.738,32734
20.800,33133
20.857,32734
20.918,33133
20.976,33133
21.035,33133
21.093,32734
21.150,32734
21.208,32734
21.266,32734
21.324,32734
21.380,33133
21.438,32747
21.494,32734
21.552,33133
21.609,33133
21.666,33133
21.722,33133
21.779,33133
21.834,33133
21.894,33133
21.949,33133
22.005,33133
22.062,33532
22.120,33532
22.179,33133
22.235,33532
22.294,33133
22.352,32734
22.408,32734
22.465,33133
22.524,32734
22.577,32734
22.633,32734
22.690,32734
22.746,32734
22.804,33133
22.861,32734
22.918,33133
22.974,32747
23.030,33133
23.086,33146
23.142,33133
23.198,33146
23.256,33133
23.312,33146
23.371,33133
23.428,32747
23.483,33133
23.539,32734
23.595,32335
23.651,32734
23.708,32335
23.763,32734
23.820,32734
23.877,32734
23.935,32734
23.994,32734
24.052,32734
24.111,33133
24.170,32734
24.229,32734
24.288,32734
24.346,32335
24.406,32335
24.470,32335
24.527,32335
24.587,32335
24.644,32335
24.700,32335
24.758,32335
24.816,32335
24.871,32734
24.929,32734
24.985,32734
25.042,33133
25.099,32335
25.157,32335
25.215,32734
25.268,32734
25.328,32734
25.384,32734
25.441,32734
25.498,32734
25.554,32734
25.611,32734
25.669,32335
25.726,32734
25.783,32734
25.840,32734
25.898,32734
25.954,33133
26.010,33133
26.067,33133
26.123,33133
26.181,33133
26.237,33133
26.300,33133
26.357,33133
26.419,33133
26.477,33532
26.534,33133
26.590,32734
26.647,32734
26.705,32734
26.762,33133
26.819,32734
26.875,33133
26.934,33133
26.988,33133
27.045,32734
27.102,33133
27.160,33133
27.216,33133
27.270,33133
27.328,33532
27.387,33133
27.443,33532
27.502,33133
27.557,33532
27.617,33133
27.673,33532
27.732,33133
27.789,33532
27.846,33133
27.904,33532
27.959,33532
28.014,33532
28.073,33133
28.130,33532
28.188,33133
28.245,33519
28.306,33133
28.364,33532
28.421,33133
28.482,33532
28.539,33133
28.599,33133
28.656,33133
28.716,33133
28.775,33133
28.837,33133
28.898,33133
28.956,33133
29.014,33133
29.075,33133
29.139,33532
29.200,33133
29.263,33519
29.321,33133
29.380,33133
29.439,33133
29.495,33133
29.550,33133
29.605,33133
29.661,33133
29.720,33133
29.773,33133
29.831,33133
29.888,33133
29.945,33133
30.007,33133
30.064,33133
30.122,33133
30.178,33133
30.235,33133
30.293,33133
30.351,33133
30.408,32734
30.465,33133
30.522,32734
30.580,32335
30.637,32335
30.692,32335
30.750,32734
30.807,32734
30.864,32734
30.921,32734
30.977,32734
31.035,33133
31.093,33133
31.149,33133
31.206,33133
31.265,33133
31.321,33133
31.380,33133
31.438,32734
31.495,32734
31.551,33120
31.608,33133
31.666,33133
31.722,33133
31.778,33133
31.836,33133
31.894,33133
31.950,33133
32.007,33133
32.064,33133
32.122,33133
32.179,33120
32.235,32734
32.293,32734
32.352,32734
32.414,33133
32.475,32734
32.534,33133
32.594,32734
32.652,32734
32.711,33133
32.770,32734
32.829,33133
32.885,33133
32.944,33133
32.999,33133
33.055,33133
33.111,33133
33.167,33532
33.228,33133
33.284,33133
33.343,33133
33.401,33133
33.456,33133
33.514,33133
33.571,33133
33.625,33133
33.682,33532
33.743,33133
33.805,32734
33.869,28776
33.934,25579
33.996,23172
34.055,20775
34.115,18777
34.172,17172
34.231,15575
34.286,14376
34.347,12779
34.408,11980
34.473,10782
34.536,9984
34.598,9185
34.660,8782
34.721,7984
34.782,9976
34.840,12365
34.900,15151
34.956,17550
35.016,19936
35.074,21539
35.132,22736
35.190,23942
35.247,25139
35.303,26326
35.364,27123
35.422,27932
35.480,28730
35.536,29528
35.594,29940
35.652,30339
35.708,30738
35.768,30738
35.826,31137
35.884,31137
35.939,31536
35.995,31923
36.053,31923
36.110,32322
36.168,32322
36.224,32322
36.279,32721
36.343,32734
36.400,32721
36.458,32734
36.513,32734
36.571,32335
36.630,31936
36.688,32335
36.745,32335
36.803,32734
36.859,32734
36.915,32734
36.972,32734
37.031,33133
37.086,32734
37.145,33120
37.201,32734
37.258,33120
37.315,32734
37.376,33133
37.434,32734
37.490,32734
37.547,32335
37.603,32335
37.661,32322
37.719,32734
37.775,32721
37.832,32721
37.892,32734
37.952,32721
38.012,33120
38.072,33120
38.130,32734
38.187,32734
38.249,32335
38.310,32335
38.368,32335
38.425,32721
38.483,32335
38.541,32721
38.596,32734
38.653,32734
38.710,32721
38.768,32734
38.828,33133
38.887,32734
38.945,33133
39.005,32734
39.064,33133
39.125,32734
39.184,32734
39.244,32734
39.306,33133
39.365,33133
39.422,30363
39.480,27178
39.537,24370
39.593,22373
39.651,19976
39.710,18377
39.768,16773
39.823,15575
39.881,13977
39.939,13178
39.998,11980
40.055,11182
40.114,10383
40.174,9584
40.234,8785
40.292,8383
40.352,7984
40.409,7185
40.470,6786
40.531,6387
40.586,6387
40.647,5988
40.705,5588
40.765,5189
40.821,5189
40.880,4790
40.939,4790
40.999,5187
41.061,6783
41.118,9174
41.175,11168
41.231,11971
41.293,14752
41.349,16752
41.406,19138
41.463,21140
41.520,23135
41.576,23942
41.633,24740
41.689,26326
41.746,26735
41.805,27932
41.862,28331
41.920,29129
41.980,29528
42.037,29928
42.097,30327
42.156,30726
42.218,30726
42.278,31125
42.336,31125
42.393,31524
42.454,31524
42.513,31923
42.572,31923
42.631,31936
42.688,31923
42.744,31923
42.801,32322
42.858,31936
42.916,32721
42.979,32335
43.042,32734
43.103,32734
43.161,32734
43.219,32734
43.279,32734
43.337,32734
43.394,32734
43.456,32335
43.513,32335
43.571,32721
43.626,32721
43.683,33133
43.740,32734
43.795,33133
43.854,33133
43.910,33133
43.967,33133
44.023,33133
44.079,33133
44.139,33133
44.196,33133
44.255,33133
44.312,33133
44.375,32348
44.435,33133
44.493,33133
44.550,32734
44.611,32734
44.667,33133
44.724,32734
44.782,33133
44.838,32734
44.894,33133
44.951,32734
45.007,32734
45.064,32734
45.121,32734
45.180,32734
45.239,32734
45.295,32335
45.353,32734
45.414,32734
45.475,32734
45.535,32734
45.594,32734
45.654,32734
45.715,32734
45.774,32734
45.834,32335
45.893,32734
45.951,32734
46.008,32734
46.064,32335
46.122,32721
46.178,32335
46.234,32734
46.289,32335
46.348,33120
46.404,32734
46.462,33133
46.520,32734
46.577,32734
46.631,32734
46.688,32734
46.744,32734
46.802,33133
46.858,32734
46.914,32734
46.970,32734
47.029,32734
47.085,32734
47.143,33133
47.202,32734
47.259,32734
47.317,32734
47.382,32734
47.444,32734
47.504,32734
47.566,32335
47.625,32335
47.682,32734
47.738,32335
47.794,32734
47.850,32335
47.908,32734
47.965,32335
48.023,32734
48.078,32734
48.136,33133
48.191,32734
48.249,33133
48.306,32734
48.361,32734
48.418,32335
48.476,32734
48.531,32335
48.587,33133
48.643,32734
48.699,33133
48.756,32734
48.813,33120
48.869,32335
48.926,33120
48.983,32734
49.040,32721
49.096,32335
49.154,32734
49.211,32335
49.271,32721
49.328,32322
49.388,32721
49.444,32335
49.500,32335
49.559,32335
49.615,32335
49.672,32335
49.730,32721
49.785,32335
49.842,32721
49.899,32322
49.958,32734
50.015,32734
50.072,32734
50.131,32734
50.187,32734
50.244,32734
50.299,32734
50.357,32734
50.418,32734
50.479,32734
50.540,32734
50.601,32734
50.660,32335
50.718,32734
50.779,32335
50.834,32734
50.892,32335
50.949,32734
51.007,32335
51.063,32734
51.121,32335
51.182,32734
51.239,32734
51.295,32734
51.354,32734
51.413,32734
51.468,32734
51.524,32734
51.580,32734
51.638,33133
51.695,32335
51.752,32335
51.809,31936
51.866,31936
51.921,31936
51.978,32335
52.035,32335
52.096,32335
52.156,32335
52.216,32335
52.274,32734
52.333,32734
52.391,32734
52.449,32734
52.509,32734
52.569,32734
52.628,32734
52.684,32734
52.741,32734
52.798,33133
52.855,32734
52.913,32734
52.969,32335
53.026,32335
53.084,32335
53.142,32335
53.200,32721
53.256,32335
53.320,32721
53.383,32335
53.440,32734
53.500,32734
53.560,32734
53.618,32734
53.680,32734
53.738,32734
53.799,32734
53.858,32734
53.918,32335
53.978,32335
54.038,32348
54.097,32335
54.156,32348
54.215,32348
54.274,32348
54.335,31948
54.392,32335
54.452,31936
54.511,32335
54.569,32335
54.629,32335
54.691,32734
54.751,32734
54.811,33133
54.870,33133
54.930,33133
54.987,33133
55.046,33532
55.107,33133
55.165,33133
55.225,32734
55.284,33133
55.342,32734
55.400,32335
55.460,32335
55.519,32335
55.578,32734
55.639,32335
55.698,32335
55.756,32335
55.817,32734
55.879,32734
55.936,32734
55.997,32734
56.056,33120
56.116,32734
56.174,33120
56.235,33133
56.295,33519
56.354,32734
56.415,33120
56.473,32734
56.534,32734
56.596,32734
56.655,32734
56.714,33133
56.772,32734
56.832,33133
56.891,33133
56.952,33133
57.011,32734
57.070,33133
57.132,32734
57.190,33133
57.250,32734
57.308,33133
57.373,33133
57.435,33133
57.498,33133
57.560,33133
57.620,33133
57.680,33133
57.738,33133
57.799,33133
57.853,33133
57.913,33532
57.969,33532
58.025,33133
58.082,33133
58.138,33133
58.198,33133
58.253,33532
58.310,33133
58.372,33532
58.434,33133
58.492,33133
58.552,33133
58.609,32734
58.668,32734
58.728,33133
58.785,32734
58.841,33133
58.900,33133
58.955,33133
59.014,33133
59.070,32734
59.127,33133
59.186,33120
59.243,33133
59.298,33120
59.357,33133
59.413,33120
59.469,33133
59.525,32734
59.581,32734
59.637,32734
59.693,32734
59.750,32734
59.805,33133
59.861,33133
59.918,33133
59.975,33133
60.030,33532
60.086,33133
60.142,33532
60.198,33532
60.254,33532
60.310,33532
60.370,33532
60.429,33532
60.485,33133
60.544,33133
60.601,32734
60.659,32734
60.717,33133
60.774,32734
60.831,33133
60.889,33133
60.948,33133
61.003,33133
61.061,33133
61.118,33532
61.174,33532
61.231,33532
61.289,33532
61.346,33133
61.404,33133
61.461,33133
61.518,33133
61.576,33532
61.632,33532
61.688,33532
61.745,33532
61.803,33532
61.860,33532
61.918,33932
61.977,33532
62.038,33532
62.099,33532
62.158,33532
62.218,33133
62.276,33532
62.334,33532
62.402,33532
62.471,33133
62.532,33532
62.592,33532
62.652,33532
62.710,33532
62.769,33532
62.826,33532
62.882,33532
62.939,33532
62.995,33133
63.054,33532
63.109,33133
63.167,33532
63.224,33133
63.281,33532
63.337,33133
63.393,33133
63.452,33133
63.509,33133
63.565,33133
63.624,33133
63.681,33532
63.739,33133
63.796,33133
63.854,33133
63.910,33532
63.970,33133
64.025,33532
64.081,33133
64.139,33120
64.195,32734
64.252,33120
64.309,33133
64.366,32734
64.425,32734
64.482,32734
64.538,33120
64.594,33120
64.652,33120
64.708,33133
64.766,33133
64.823,33133
64.880,33133
64.936,33133
64.993,33133
65.049,33532
65.107,33133
65.164,33519
65.222,33133
65.278,33120
65.336,32734
65.397,33120
65.456,32734
65.516,33133
65.576,32734
65.634,32734
65.691,33133
65.748,33133
65.804,33133
65.862,33133
65.920,33532
65.976,33133
66.034,33532
66.091,33133
66.147,33133
66.206,32734
66.262,33133
66.319,32734
66.376,32734
66.437,32734
66.494,32734
66.550,32734
66.607,32734
66.664,33133
66.722,33133
66.779,33133
66.838,33133
66.895,33133
66.954,33133
67.011,33133
67.068,32734
